KOname	ko
aapP, bztD; general L-amino acid transport system ATP-binding protein	K09972
aapQ, bztB; general L-amino acid transport system permease protein	K09970
AAR2, C20orf4; A1 cistron-splicing factor AAR2	K13205
aarC, cat1; succinyl-CoA:acetate CoA-transferase	K18118
AARS, alaS; alanyl-tRNA synthetase	K01872
AARSD1, ALAX; misacylated tRNA(Ala) deacylase	K07050
aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase	K05939
AASDH; acyl-CoA synthetase	K00142
AASS; alpha-aminoadipic semialdehyde synthase	K14157
AATF, BFR2; protein AATF/BFR2	K14782
AATK, LMTK1; lemur tyrosine kinase 1	K17480
aat; leucyl/phenylalanyl-tRNA---protein transferase	K00684
aauA; aralkylamine dehydrogenase light chain	K13371
aauB; aralkylamine dehydrogenase heavy chain	K13372
aauR; two-component system, response regulator AauR	K17061
aauS; two-component system, sensor histidine kinase AauS	K17060
ABA2; xanthoxin dehydrogenase	K09841
ABA3; molybdenum cofactor sulfurtransferase	K15631
ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase	K13524
ABC-2.A; ABC-2 type transport system ATP-binding protein	K01990
ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein	K11050
ABC-2.CYL.P, cylB; multidrug/hemolysin transport system permease protein	K11051
ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein	K09691
ABC-2.LPSE.P; lipopolysaccharide transport system permease protein	K09690
ABC-2.P; ABC-2 type transport system permease protein	K01992
ABC-2.TX; HlyD family secretion protein	K01993
ABC4, menA; 2-carboxy-1,4-naphthoquinone phytyltransferase	K23094
ABCA10; ATP-binding cassette, subfamily A (ABC1), member 10	K05652
ABCA12; ATP-binding cassette, subfamily A (ABC1), member 12	K05646
ABCA13; ATP binding cassette, subfamily A (ABC1), member 13	K05647
ABCA1; ATP-binding cassette, subfamily A (ABC1), member 1	K05641
ABCA2; ATP-binding cassette, subfamily A (ABC1), member 2	K05642
ABCA3; ATP-binding cassette, subfamily A (ABC1), member 3	K05643
ABCA4; ATP-binding cassette, subfamily A (ABC1), member 4	K05644
ABCA5; ATP-binding cassette, subfamily A (ABC1), member 5	K05648
ABCA6; ATP-binding cassette, subfamily A (ABC1), member 6	K05649
ABCA7; ATP-binding cassette, subfamily A (ABC1), member 7	K05645
ABCA8; ATP-binding cassette, subfamily A (ABC1), member 8	K05650
ABCA9; ATP-binding cassette, subfamily A (ABC1), member 9	K05651
abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA	K18104
ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10	K05657
ABCB11; ATP-binding cassette, subfamily B (MDR/TAP), member 11	K05664
ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1	K05658
ABCB2, TAP1; ATP-binding cassette, subfamily B (MDR/TAP), member 2	K05653
ABCB3, TAP2; ATP-binding cassette, subfamily B (MDR/TAP), member 3	K05654
ABCB4; ATP-binding cassette, subfamily B (MDR/TAP), member 4	K05659
ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5	K05660
ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6	K05661
ABCB7, ATM; ATP-binding cassette, subfamily B (MDR/TAP), member 7	K05662
ABCB8; ATP-binding cassette, subfamily B (MDR/TAP), member 8	K05655
ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9	K05656
ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	K06147
ABCC10; ATP-binding cassette, subfamily C (CFTR/MRP), member 10	K05674
ABCC11; ATP-binding cassette, subfamily C (CFTR/MRP), member 11	K05671
ABCC12; ATP-binding cassette, subfamily C (CFTR/MRP), member 12	K05672
ABCC13; ATP-binding cassette, subfamily C (CFTR/MRP), member 13	K05670
ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1	K05665
ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2	K05666
ABCC3; ATP-binding cassette, subfamily C (CFTR/MRP), member 3	K05667
ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4	K05673
ABCC5; ATP-binding cassette, subfamily C (CFTR/MRP), member 5	K05668
ABCC6; ATP-binding cassette, subfamily C (CFTR/MRP), member 6	K05669
ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8	K05032
ABCC9, SUR2; ATP-binding cassette subfamily C (CFTR/MRP) member 9	K05033
ABCC-BAC; ATP-binding cassette, subfamily C, bacterial	K06148
ABC.CD.A; putative ABC transport system ATP-binding protein	K02003
ABC.CD.P; putative ABC transport system permease protein	K02004
ABC.CD.TX; HlyD family secretion protein	K02005
ABCD1, ALD; ATP-binding cassette, subfamily D (ALD), member 1	K05675
ABCD2, ALDL1; ATP-binding cassette, subfamily D (ALD), member 2	K05676
ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3	K05677
ABCD4, PXMP1L; ATP-binding cassette, subfamily D (ALD), member 4	K05678
ABCE1, Rli1; ATP-binding cassette, sub-family E, member 1	K06174
ABCF1; ATP-binding cassette, subfamily F, member 1	K06184
ABCF2; ATP-binding cassette, subfamily F, member 2	K06185
ABCF3; ATP-binding cassette, subfamily F, member 3	K06158
ABC.FEV.A; iron complex transport system ATP-binding protein	K02013
ABC.FEV.P; iron complex transport system permease protein	K02015
ABC.FEV.S; iron complex transport system substrate-binding protein	K02016
ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1	K05679
ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2	K05681
ABCG2.PDR, CDR1; ATP-binding cassette, subfamily G (WHITE), member 2, PDR	K08711
ABCG2.SNQ2; ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2	K08712
ABCG3, Mxr2, Abcp2; ATP-binding cassette, subfamily G (WHITE), member 3	K05682
ABCG4; ATP-binding cassette, subfamily G (WHITE), member 4	K05680
ABCG5; ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)	K05683
ABCG8; ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)	K05684
ABC.GGU.A, gguA; putative multiple sugar transport system ATP-binding protein	K10548
ABC.GGU.P, gguB; putative multiple sugar transport system permease protein	K10547
ABC.GGU.S, chvE; putative multiple sugar transport system substrate-binding protein	K10546
ABC.GLC.A; glucose/arabinose transport system ATP-binding protein	K10199
ABC.GLC.P1; glucose/arabinose transport system permease protein	K10198
ABC.GLC.P; glucose/arabinose transport system permease protein	K10197
ABC.GLC.S; glucose/arabinose transport system substrate-binding protein	K10196
ABC.MN.A; manganese/iron transport system ATP-binding protein	K09820
ABC.MN.P; manganese/iron transport system permease protein	K09819
ABC.MN.S; manganese/iron transport system substrate-binding protein	K09818
ABC.MR; putative ABC transport system ATP-binding protein	K02021
ABC.MR.TX; HlyD family secretion protein	K02022
ABC.MS.P1; multiple sugar transport system permease protein	K02026
ABC.MS.P; multiple sugar transport system permease protein	K02025
ABC.MS.S; multiple sugar transport system substrate-binding protein	K02027
ABC.NGC.P1; N-acetylglucosamine transport system permease protein	K10202
ABC.NGC.P; N-acetylglucosamine transport system permease protein	K10201
ABC.NGC.S; N-acetylglucosamine transport system substrate-binding protein	K10200
ABC.PA.A; polar amino acid transport system ATP-binding protein	K02028
ABC.PA.P; polar amino acid transport system permease protein	K02029
ABC.PA.S; polar amino acid transport system substrate-binding protein	K02030
ABC.PE.P1; peptide/nickel transport system permease protein	K02034
ABC.PE.P; peptide/nickel transport system permease protein	K02033
ABC.PE.S; peptide/nickel transport system substrate-binding protein	K02035
ABC.SN.A; NitT/TauT family transport system ATP-binding protein	K02049
ABC.SN.P; NitT/TauT family transport system permease protein	K02050
ABC.SN.S; NitT/TauT family transport system substrate-binding protein	K02051
ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	K02052
ABC.SP.P1; putative spermidine/putrescine transport system permease protein	K02054
ABC.SP.P; putative spermidine/putrescine transport system permease protein	K02053
ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein	K02055
ABC.SS.A; simple sugar transport system ATP-binding protein	K02056
ABC.SS.P; simple sugar transport system permease protein	K02057
ABC.SS.S; simple sugar transport system substrate-binding protein	K02058
ABC.ZM.A; zinc/manganese transport system ATP-binding protein	K02074
ABC.ZM.P; zinc/manganese transport system permease protein	K02075
ABC.ZM.S; zinc/manganese transport system substrate-binding protein	K02077
ABDB; homeobox protein abdominal-B and related proteins	K09300
ABF1, BAF1; ARS-binding factor 1	K09249
abf1; non-reducing end alpha-L-arabinofuranosidase	K20844
abfA; alpha-L-arabinofuranosidase	K01209
ABF; ABA responsive element binding factor	K14432
abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase	K14534
abgA; aminobenzoyl-glutamate utilization protein A	K12940
abgB; aminobenzoyl-glutamate utilization protein B	K12941
abgR; LysR family transcriptional regulator, regulator of abg operon	K14057
abgT; aminobenzoyl-glutamate transport protein	K12942
ABHD10; abhydrolase domain-containing protein 10	K13702
ABHD11; abhydrolase domain-containing protein 11	K13703
ABHD12; abhydrolase domain-containing protein 12	K13704
ABHD12B; abhydrolase domain-containing protein 12B	K13705
ABHD1_3; abhydrolase domain-containing protein 1/3	K13696
ABHD13; abhydrolase domain-containing protein 13	K24083
ABHD14; abhydrolase domain-containing protein 14	K13706
ABHD15; abhydrolase domain-containing protein 15	K13707
ABHD17; abhydrolase domain-containing protein 17	K01076
ABHD2; abhydrolase domain-containing protein 2	K13697
ABHD4; abhydrolase domain-containing protein 4	K13698
ABHD5, CGI-58; abhydrolase domain-containing protein 5	K13699
ABHD6; abhydrolase domain-containing protein 6	K13700
ABHD8; abhydrolase domain-containing protein 8	K13701
ABI1; abl interactor 1	K23649
ABI2; abl interactor 2	K05751
ABI3; abi gene family member 3	K23710
ABI3BP; target of Nesh-SH3	K24477
abiQ; protein AbiQ	K19167
ABL1; abelson tyrosine-protein kinase 1	K06619
ABL2; abelson tyrosine-protein kinase 2	K08887
ablB; beta-lysine N6-acetyltransferase	K21935
ABLIM; actin-binding LIM protein	K07520
abmG; 2-aminobenzoate-CoA ligase	K08295
abnA; arabinan endo-1,5-alpha-L-arabinosidase	K06113
abnE; arabinooligosaccharide transport system substrate-binding protein	K25062
abnF; arabinooligosaccharide transport system permease protein	K25063
abnJ; arabinooligosaccharide transport system permease protein	K25064
ABO; histo-blood group ABO system transferase	K00709
ABP140; tRNAThr (cytosine32-N3)-methyltransferase	K17053
ABR; active breakpoint cluster region-related protein	K20629
abrB; AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes	K06284
absAa; 2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha	K15766
absAb; 2-aminobenzenesulfonate 2,3-dioxygenase subunit beta	K15767
ABS; cis-abienol synthase	K20517
ABTB1, BPOZ; ankyrin repeat and BTB/POZ domain-containing protein 1	K10520
ABTB2; ankyrin repeat and BTB/POZ domain-containing protein 2	K10521
ACAA1; acetyl-CoA acyltransferase 1	K07513
ACAA2; acetyl-CoA acyltransferase 2	K07508
ACACA; acetyl-CoA carboxylase / biotin carboxylase 1	K11262
ACACB; acetyl-CoA carboxylase / biotin carboxylase 2	K01946
ACAD10; acyl-CoA dehydrogenase family member 10	K11729
ACAD11; acyl-CoA dehydrogenase family member 11	K11730
ACAD8; isobutyryl-CoA dehydrogenase	K11538
ACAD9; acyl-CoA dehydrogenase family member 9	K15980
ACADL; long-chain-acyl-CoA dehydrogenase	K00255
ACADM, acd; acyl-CoA dehydrogenase	K00249
ACADS, bcd; butyryl-CoA dehydrogenase	K00248
ACADSB; short-chain 2-methylacyl-CoA dehydrogenase	K09478
ACADVL; very long chain acyl-CoA dehydrogenase	K09479
ACAP; Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein	K12489
ACAT, atoB; acetyl-CoA C-acetyltransferase	K00626
acbC, salQ, valA, cetA; 2-epi-5-epi-valiolone synthase	K19969
ACBD3; golgi resident protein GCP60	K23935
acbK; acarbose 7IV-phosphotransferase	K19978
acbL; 2-epi-valiolone-7-phosphate 1-reductase	K20424
acbM; 2-epi-5-epi-valiolone 7-kinase	K19979
acbN; cyclitol oxidoreductase	K20425
acbO; 2-epi-5-epi-valiolone 7-phosphate 2-epimerase	K19974
acbR, vldB; valienol-1-phosphate guanylyltransferase	K20427
acbS; glycosyltransferase AcbS	K20430
acbU; 1-epi-valienol-7-phosphate kinase	K20426
acbV; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	K20428
accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha	K01962
accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	K02160
accC; acetyl-CoA carboxylase, biotin carboxylase subunit	K01961
accD2; acyl-CoA carboxylase subunit beta	K01970
accD3; acyl-CoA carboxylase subunit beta	K04104
accD6; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit	K18472
accD; acetyl-CoA carboxylase carboxyl transferase subunit beta	K01963
accR; DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer	K20271
acdA; 3-(aryl)acrylate reductase	K24016
acdA; acetate---CoA ligase (ADP-forming) subunit alpha	K01905
acdAB; acetate---CoA ligase (ADP-forming)	K24012
acdB; acetate---CoA ligase (ADP-forming) subunit beta	K22224
acdDPN7; 3-sulfinopropanoyl-CoA desulfinase	K19966
acd; glutaryl-CoA dehydrogenase (non-decarboxylating)	K16173
acdH; short-chain 2-methylacyl-CoA dehydrogenase	K11410
ACD, TPP1; adrenocortical dysplasia protein	K11114
ACE1; hybrid polyketide synthase / nonribosomal peptide synthetase ACE1	K15394
ACE2, ACEH; angiotensin-converting enzyme 2	K09708
ACE2; metallothionein expression activator	K09238
ace; accessory cholera enterotoxin	K10952
aceB; bifunctional (S)-malyl-CoA lyase/thioesterase	K19282
aceB, glcB; malate synthase	K01638
ACE, CD143; peptidyl-dipeptidase A	K01283
aceE; pyruvate dehydrogenase E1 component	K00163
ACE, HTH; fatty acid omega-hydroxy dehydrogenase	K15403
aceK; isocitrate dehydrogenase kinase/phosphatase	K00906
ACER1_2, ASAH3; alkaline ceramidase	K01441
ACER3, YDC1; dihydroceramidase	K04711
ACET6, DES6; acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase	K21737
acfA; accessory colonization factor AcfA	K10936
acfB; accessory colonization factor AcfB	K10937
acfC; accessory colonization factor AcfC	K10938
acfD; accessory colonization factor AcfD	K10939
acgA; c-di-GMP phosphodiesterase	K20963
acgB; diguanylate cyclase	K20954
ACHE; acetylcholinesterase	K01049
aci; 3,6-anhydro-L-galactonate cycloisomerase	K20549
ACIN1, ACINUS; apoptotic chromatin condensation inducer in the nucleus	K12875
ackA; acetate kinase	K00925
ACKR1, DARC, CD234; atypical chemokine receptor 1	K06574
ACKR2, CCBP2; atypical chemokine receptor 2	K04187
ACKR4, CCRL1, CCR11; atypical chemokine receptor 4	K04186
ACL5; thermospermine synthase	K18787
aclA; ATP-citrate lyase alpha-subunit	K15230
ACLB; aspirochlorine biosynthesis cytochrome P450 monooxygenase	K23320
aclB; ATP-citrate lyase beta-subunit	K15231
ACLH; flavine halogenase	K23319
ACLL; aspirochlorine biosynthesis cytochrome P450 monooxygenase	K23321
ACLO; aspirochlorine biosynthesis cytochrome P450 monooxygenase	K23322
ACLY; ATP citrate (pro-S)-lyase	K01648
acmA; acetone monooxygenase (methyl acetate-forming)	K18371
acmA, sibE; 3-hydroxy-4-methylanthranilate adenylyltransferase	K21284
acmB; methyl acetate hydrolase	K18372
acm; lysozyme	K07273
ACMSD; aminocarboxymuconate-semialdehyde decarboxylase	K03392
acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	K01682
acnD; 2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)	K20455
acnR; TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase	K21962
ACO2; homoaconitase	K17450
acoA; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha	K21416
ACO, acnA; aconitate hydratase	K01681
acoB; acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta	K21417
acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR	K21405
ACOS; ophiobolin F synthase	K18685
ACOT11; acyl-CoA thioesteraes 11	K12417
ACOT1_2_4; acyl-coenzyme A thioesterase 1/2/4	K01068
ACOT13; acyl-coenzyme A thioesterase 13	K17362
ACOT6; acyl-CoA thioesterase 6	K11993
ACOT7; acyl-coenzyme A thioesterase 7	K17360
ACOT8, PTE; acyl-CoA thioesterase 8	K11992
ACOT9; acyl-coenzyme A thioesterase 9	K17361
ACOX2; 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase	K10214
ACP1; low molecular weight phosphotyrosine protein phosphatase	K14394
ACP2; lysosomal acid phosphatase	K14410
ACP5; tartrate-resistant acid phosphatase type 5	K14379
ACP6; lysophosphatidic acid phosphatase type 6	K14395
ACP7; acid phosphatase type 7	K22390
acpA; capsule synthesis positive regulator AcpA	K22977
acpB; capsule synthesis positive regulator AcpB	K22980
acpD, azoR; FMN-dependent NADH-azoreductase	K01118
acpH; acyl carrier protein phosphodiesterase	K08682
acpK; polyketide biosynthesis acyl carrier protein	K15337
acpP; acyl carrier protein	K02078
ACPP; prostatic aicd phosphatase	K19283
acpS; holo-[acyl-carrier protein] synthase	K00997
ACPT; testicular acid phosphatase	K19284
ACR2; arsenical-resistance protein 2	K18064
ACR3, arsB; arsenite transporter	K03325
ACR; acrosin	K01317
acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system	K03585
acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	K18138
ACRB; ubiquitination network signaling protein AcrB	K24766
acrC; acrylyl-CoA reductase (NADH)	K20143
acrD; multidrug efflux pump	K18324
acrE; membrane fusion protein, multidrug efflux system	K18141
acrF; multidrug efflux pump	K18142
acrR, smeT; TetR/AcrR family transcriptional regulator, acrAB operon repressor	K03577
acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor	K18136
ACS10_12; aminotransferase	K14270
ACS1_2_6; 1-aminocyclopropane-1-carboxylate synthase 1/2/6	K20772
ACS; 1-aminocyclopropane-1-carboxylate synthase	K01762
acsB; acetyl-CoA synthase	K14138
ACSBG; long-chain-fatty-acid--CoA ligase ACSBG	K15013
acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase	K15023
ACSF2; medium-chain acyl-CoA ligase, mitochondrial	K23617
ACSF3; malonyl-CoA/methylmalonyl-CoA synthetase	K18660
ACSL, fadD; long-chain acyl-CoA synthetase	K01897
ACSM1, LAE; medium-chain acyl-CoA ligase / lipoate-activating enzyme	K23756
ACSM; medium-chain acyl-CoA synthetase	K01896
ACSS1_2, acs; acetyl-CoA synthetase	K01895
ACSS3, prpE; propionyl-CoA synthetase	K01908
ACTA1; actin, alpha skeletal muscle	K10354
ACTA2; actin, aortic smooth muscle	K12313
actA; actin-assembly inducing protein	K16644
ACT; agmatine coumaroyltransferase	K14329
ACTB_G1; actin beta/gamma 1	K05692
ACTC1; actin, alpha cardiac muscle	K12314
ACTF; actin, other eukaryote	K10355
ACTG2; actin, gamma-enteric smooth muscle	K12315
actI1, oxyA, tcmK, snoa1, aknB, mtmP; minimal PKS ketosynthase (KS/KS alpha)	K05551
actI2, oxyB, tcmL, snoa2, aknC, mtmK; minimal PKS chain-length factor (CLF/KS beta)	K05552
actI3, oxyC, tcmM, snoa3, aknD, mtmS; minimal PKS acyl carrier protein	K05553
actIII, oxyJ, snoaD, aknA; ketoreductase	K12420
actIV; cyclase	K05555
ACTL6A, INO80K; actin-like protein 6A	K11340
ACTL6B; actin-like protein 6B	K11652
ACTN1_4; actinin alpha 1/4	K05699
ACTN2_3; actinin alpha 2/3	K21073
ACTNL; actinin-like protein	K13978
actP; cation/acetate symporter	K14393
ACTR10, ARP11; actin-related protein 10	K16576
ACTR1, ARP1; centractin	K16575
ACTR2, ARP2; actin-related protein 2	K17260
ACTR3, ARP3; actin-related protein 3	K18584
ACTR5, ARP5, INO80M; actin-related protein 5	K11672
ACTR6, ARP6; actin-related protein 6	K11662
ACTR8, ARP8, INO80N; actin-related protein 8	K11673
actVA1; MFS transporter, DHA2 family, integral membrane protein	K05557
actVA5; two-component flavin-dependent monooxygenase	K14630
actVA6; C-6 monooxygenase	K14632
actVB; flavin reductase ActVB	K14631
actVI1, RED1; ketoreductase RED1	K05556
actVI2; enoyl reductase	K14628
actVI3; dehydratase	K14627
actVI4; enoyl reductase	K14629
actVIA; actinorhodin biosynthesis protein ActVIA	K14626
actVII; aromatase	K05554
acuA; acetoin utilization protein AcuA	K04766
acuB; acetoin utilization protein AcuB	K04767
acuC; acetoin utilization protein AcuC	K04768
acuI; acrylyl-CoA reductase (NADPH)	K19745
ACVR1, ALK2; activin receptor type-1	K04675
ACVR1B, ALK4; activin receptor type-1B	K13567
ACVR1C, ALK7; activin receptor type-1C	K13568
ACVR2A; activin receptor type-2A	K04670
ACVR2B; activin receptor type-2B	K13596
ACVRL1, ALK1; activin receptor-like kinase 1	K13594
acxA; acetone carboxylase, beta subunit	K10855
acxB; acetone carboxylase, alpha subunit	K10854
acxC; acetone carboxylase, gamma subunit	K10856
ACY1; aminoacylase	K14677
ACY3; N-acyl-aromatic-L-amino acid amidohydrolase	K18458
acyP; acylphosphatase	K01512
adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase	K13530
ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II	K13529
ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase	K10778
adaB; methylated-DNA-[protein]-cysteine S-methyltransferase	K13531
ADAM10, CD156c; disintegrin and metalloproteinase domain-containing protein 10	K06704
